crime,date,hour,lat,long
VIOLACION,9/30/2020,7:20,19.31871412,-99.25441841
VIOLACION,9/29/2020,22:30,19.37876233,-99.20548829
VIOLACION,9/29/2020,22:00,19.3479712,-99.0301617
VIOLACION,9/29/2020,23:30,19.55731088,-99.13416645
VIOLACION,9/27/2020,0:00,19.34212519,-99.12427974
VIOLACION,9/26/2020,23:00,19.33472166,-99.03031684
VIOLACION,9/26/2020,3:00,19.4473462,-99.1591203
VIOLACION,9/26/2020,6:23,19.40373446,-99.13849869
VIOLACION,9/25/2020,4:00,19.56340479,-99.13257004
VIOLACION,9/24/2020,2:45,19.39297696,-99.10110124
VIOLACION,9/23/2020,17:30,19.3335839,-99.1652134
VIOLACION,9/23/2020,0:00,19.32375056,-99.10529656
VIOLACION,9/22/2020,14:00,19.41086184,-99.06806615
VIOLACION,9/22/2020,10:30,19.3604001,-99.1465168
VIOLACION,9/20/2020,8:00,19.39621487,-99.19032741
VIOLACION,9/20/2020,6:00,19.34771317,-99.26916303
VIOLACION,9/20/2020,1:00,19.4906426,-99.1741282
VIOLACION,9/19/2020,5:00,19.32921274,-99.15460307
VIOLACION,9/18/2020,12:30,19.51481528,-99.13314474
VIOLACION,9/18/2020,12:00,19.287941,-99.0680133
VIOLACION,9/17/2020,9:00,19.44310411,-99.16417994
VIOLACION,9/17/2020,18:00,19.3586505,-99.1408242
VIOLACION,9/17/2020,15:00,19.4565703,-99.1158829
VIOLACION,9/17/2020,0:00,19.4344073,-99.2192733
VIOLACION,9/16/2020,4:51,19.4276057,-99.1571211
VIOLACION,9/16/2020,20:00,19.32685897,-99.05689451
VIOLACION,9/16/2020,6:30,19.38155075,-99.21333311
VIOLACION,9/16/2020,11:00,19.385855,-99.055651
VIOLACION,9/15/2020,16:00,19.3372048,-99.08252308
VIOLACION,9/15/2020,20:30,19.37359246,-99.23085996
VIOLACION,9/14/2020,18:00,19.54458361,-99.13760656
VIOLACION,9/13/2020,22:35,19.2896599,-99.227362
VIOLACION,9/13/2020,2:00,19.2742534,-99.18503966
VIOLACION,9/13/2020,18:00,19.28000198,-99.11417918
VIOLACION,9/13/2020,5:00,19.34018897,-98.97684345
VIOLACION,9/13/2020,4:00,19.39542052,-99.15100544
VIOLACION,9/13/2020,17:00,19.35224222,-99.24392887
VIOLACION,9/12/2020,0:30,19.4232843,-99.11468771
VIOLACION,9/12/2020,21:00,19.38540599,-99.05283045
VIOLACION,9/12/2020,0:30,19.4081022,-99.1268436
VIOLACION,9/11/2020,17:30,19.4135985,-99.1129122
VIOLACION,9/11/2020,22:25,19.45293759,-99.15949199
VIOLACION,9/10/2020,8:00,19.32279007,-99.26002286
VIOLACION,9/10/2020,21:09,19.38663837,-99.24305392
VIOLACION,9/10/2020,12:00,19.544985,-99.1269378
VIOLACION,9/10/2020,9:30,19.27274344,-99.1742567
VIOLACION,9/9/2020,16:00,19.3351853,-99.0524453
VIOLACION,9/9/2020,20:05,19.38447968,-99.14056059
VIOLACION,9/9/2020,5:00,19.35820323,-99.07372414
VIOLACION,9/6/2020,19:00,19.33856389,-98.99647351
VIOLACION,9/6/2020,11:15,19.36087439,-99.1968587
VIOLACION,9/6/2020,7:00,19.4838854,-99.1135903
VIOLACION,9/6/2020,21:00,19.43957911,-99.21823863
VIOLACION,9/6/2020,17:30,19.41949121,-99.17295815
VIOLACION,9/6/2020,17:00,19.49101156,-99.0821116
VIOLACION,9/6/2020,2:30,19.25438173,-99.16146411
VIOLACION,9/6/2020,7:00,19.43769044,-99.15493971
VIOLACION,9/5/2020,9:30,19.34357817,-99.1174163
VIOLACION,9/5/2020,23:00,19.32423864,-99.15650752
VIOLACION,9/4/2020,17:00,19.4186632,-99.17302944
VIOLACION,9/4/2020,10:30,19.30767449,-99.18045668
VIOLACION,9/4/2020,18:30,19.3039838,-99.1918402
VIOLACION,9/4/2020,21:40,19.3786585,-99.1888182
VIOLACION,9/4/2020,20:00,19.4558071,-99.185752
VIOLACION,9/3/2020,22:27,19.4279864,-99.1839073
VIOLACION,9/3/2020,2:30,19.43263361,-99.15618359
VIOLACION,9/2/2020,11:40,19.36853169,-99.24457298
VIOLACION,9/2/2020,19:30,19.41006647,-99.15048223
VIOLACION,9/2/2020,22:15,19.3558369,-98.99198627
VIOLACION,9/1/2020,19:00,19.3823272,-99.075932
VIOLACION,8/31/2020,2:00,19.44418871,-99.1667922
VIOLACION,8/30/2020,22:00,19.39446463,-99.20183722
VIOLACION,8/30/2020,4:30,19.33257677,-99.00430881
VIOLACION,8/30/2020,6:00,19.34001382,-99.14980517
VIOLACION,8/29/2020,5:00,19.32145166,-99.24815143
VIOLACION,8/29/2020,14:00,19.2967277,-99.0223843
VIOLACION,8/29/2020,23:30,19.4235346,-99.1544878
VIOLACION,8/28/2020,18:40,19.49169344,-99.11656483
VIOLACION,8/28/2020,5:50,19.38503318,-99.18666665
VIOLACION,8/27/2020,16:00,19.44682805,-99.10859874
VIOLACION,8/26/2020,12:00,19.34334163,-99.07105999
VIOLACION,8/25/2020,5:30,19.26198522,-99.11398225
VIOLACION,8/25/2020,23:30,19.55291574,-99.13449368
VIOLACION,8/24/2020,8:00,19.3127299,-99.1534445
VIOLACION,8/24/2020,23:40,19.4084006,-99.13357607
VIOLACION,8/23/2020,0:15,19.40722844,-99.08379437
VIOLACION,8/23/2020,5:00,19.37615849,-99.18774304
VIOLACION,8/23/2020,15:45,19.44319422,-99.13821277
VIOLACION,8/23/2020,1:00,19.33272846,-99.17242089
VIOLACION,8/22/2020,10:00,19.3603173,-99.00761644
VIOLACION,8/22/2020,4:00,19.474389,-99.063196
VIOLACION,8/22/2020,1:50,19.33835255,-99.24650956
VIOLACION,8/21/2020,0:30,19.41013264,-99.13307641
VIOLACION,8/21/2020,21:00,19.46021377,-99.1750674
